address,entity,tx_received,etherreceived
0x5dbdebcae07cc958ba5290ff9deaae554e29e7b4,Bitfinex: Deployer 1,3,0
0x742d35cc6634c0532925a3b844bc454e4438f44e,Bitfinex 2,488,5934000.55
0x7180eb39a6264938fdb3effd7341c4727c382153,Bitfinex: Old Address 2,7874,8215495.723256354
0xe1f3c653248de6894d683cb2f10de7ca2253046f,Bitfinex: Deployer 3,393,22499.473803445
0x1151314c646ce4e0efd76d1af4760ae66a9fe30f,Bitfinex 1,391299,48072632.050420854
0x2903cadbe271e057edef157340b52a5898d7424f,Bitfinex: Deployer 4,34,2.184137971
0x36928500bc1dcd7af6a2b4008875cc336b927d57,Bitfinex: Deployer 5,113,5.42454654
0x2ee3b2df6534abc759ffe994f7b8dcdfaa02cd31,Bitfinex: Deployer 2,6,1.002
0xcafb10ee663f465f9d10588ac44ed20ed608c11e,Bitfinex: Old Address 1,823,23513271.222085797
0x14d06788090769f669427b6aea1c0240d2321f34,Bitfinex: Deployer 6,405,339.180121224
0x876eabf441b2ee5b5b0554fd502a8e0600950cfa,Bitfinex 3,709376,43634090.913714328
