address,entity,tx_sent,ethersent,tx_fee
0xd74401db32ddd23127e7823887c5ca4d81631793,MultiSig Exploit 7,12,10.02125724,0.1337199200006
0x027beefcbad782faf69fad12dee97ed894c68549,QuadrigaCX 1,5854,543622.838009996,3.367044291127115
0x27f706edde3ad952ef647dd67e24e38cd0803dd6,Useless Ethereum Token,24063,314.951271442,37.23719867825241
0x2984581ece53a4390d1f568673cf693139c97049,Cryptopia 2,13268,920.601999969,26.750731750766743
0x0ee4e2d09aec35bdf08083b649033ac0a41aa75e,QuadrigaCX 3,663,788400.606908567,1.2189893601696484
0x2f30ff3428d62748a1d993f2cc6c9b55df40b4d7,Compromised: Honeypot,2,1,3.0959204005745803E-4
0xb3740cefcc201d5cf1fa59143976332563314d82,MultiSig Exploit 2,19,1600.4,0.14667163174398282
0x7f379a0d99d224d487ae4751cbf261ae6037153e,MultiSig Exploit 5,30,10.05,0.09401020807087002
0xb3aaaae47070264f3595c5032ee94b620a583a39,WEX Exchange,294221,1380956.635306131,130.2534912792255
0x327bb6e6fff2c05e542c63b0fcfdd270734738ef,MultiSig Exploit 8,9,2,0.017927811000599998
0x3b135dbf827508d8ed170548f157bdcd2dc857d3,MultiSig Exploit 9,17,53.5,0.13555136973477502
0xb4e63046001074b223872137174eec63a7e12cf5,MultiSig Exploit 3,8,0,0.1176400000006
0xb6aac3b56ff818496b747ea57fcbe42a9aae6218,QuadrigaCX 2,197607,1289051.169229038,222.21888726255523
0x9f82984f02f42b31f24d37799c9d63604f9a6f15,MultiSig Exploit 10,8,1,0.018215960000600002
0x5baeac0a0417a05733884852aa068b706967e790,Cryptopia 1,218864,525088.114147321,137.53583524620024
0x80e4f014c98320eab524ae16b0aaf1603f4dc01d,Compromised: Honeypot 2,974,33.053924339,1.1743611860799987
0x6a164122d5cf7c840d26e829b46dcc4ed6c0ae48,CoinDash: Token Sale,2135,43479.456231114,25.245569798457222
0xb32db51ba30c80a21a775635c1b6d6a01754fd06,MultiSig Exploit 6,22,37.995,0.15920216128133285
0x84f4bcc4e841afdfde7899662f8bbd7d6a71c112,Compromised: Upbit Hack Funds,243,46356.537135174,0.0831128
0x164c2b90f83b67d897ff00899695430841e38536,MultiSig Exploit 4,9,0,0.0192264000006
0x31b9eb2bb4bd06b56132282c82d0437d77d2339e,Compromised: Honeypot 3,6,8.23000001,0.004710413000059119
0xce9f93eb7f78fcb7e7d222c81f258535dc218d4b,MultiSig Exploit 1,19,0,0.2262503480006
