address,entity,tx_received,etherreceived
0x37c4bcaba4bcf3a605414236b8b108f160eb45a6,LocalCoin Dex 2,8,0.7776774
0xa7a7899d944fe658c4b0a1803bab2f490bd3849e,IDEX 2,4539410,0
0xa258b39954cef5cb142fd567a46cddb31a670124,Radar Relay,2,0.01935245
0xaf8ae6955d07776ab690e565ba6fbc79b8de3a5d,DeversiFi,8,90
0xc898fbee1cc94c0ff077faa5449915a506eff384,Bamboo Relay,5,0.004
0xc22d5b2951db72b44cfb8089bb8cd374a3c354ea,OpenRelay,28,2.047
0xc692453625023c6e03fec04158ea31ab4de2650a,LocalCoin Dex 1,661,61.313055683
0x0681e844593a051e2882ec897ecd5444efe19ff2,Star Bit Ex,95075,40.440203784
0x7219612be7036d1bfa933e16ca1246008f38c5fe,The Ocean,2139,51.005
0xd2045edc40199019e221d71c0913343f7908d0d5,Paradex,50616,0.5
0x0e8ba001a821f3ce0734763d008c9d7c957f5852,AmadeusRelay,15,1.163
0x2cc42d1cd65af27cc999e41ef93d1a763dc821f8,IDT Exchange,80,273.495555485
0x55890b06f0877a01bb5349d93b202961f8e27a9b,Shark Relay,2,0
0x49497a4d914ae91d34ce80030fe620687bf333fd,DDEX 1.0,113689,0
0x4524baa98f9a3b9dec57caae7633936ef96bd708,LedgerDex,18,0.145
0x8d1c1571367a148e92d6ac83494b1bdf3b497d07,LocalCoin DEX 3,6,4.214873924
