address,entity,tx_sent,ethersent,tx_fee
0xdc6c91b569c98f9f6f74d90f9beff99fdaf4248b,Tokenlon,84245,311762.145608789,811.476821791984
0xaf8ae6955d07776ab690e565ba6fbc79b8de3a5d,DeversiFi,2,101.34168343,0.0026999999999999997
0xa258b39954cef5cb142fd567a46cddb31a670124,Radar Relay,1,0.02,3.1499999999999996E-4
0x9a2d163ab40f88c625fd475e807bbc3556566f80,SingularX,119326,161670.07762711,757.7427192480407
0xa7a7899d944fe658c4b0a1803bab2f490bd3849e,IDEX 2,274,7958.411939637,0.16414501686849975
0x8d1c1571367a148e92d6ac83494b1bdf3b497d07,LocalCoin DEX 3,111,4.329334166,0.004001106520000002
0x7600977eb9effa627d6bd0da2e5be35e11566341,DEx.top,285743,7415.314166159,1145.477565378061
0x04f062809b244e37e7fdc21d9409469c989c2342,Joyso,38798,8888.805884405,83.51044507820194
0xa5cc679a3528956e8032df4f03756c077c1ee3f4,EtherMium,13145,1552.28530025,27.295333973488933
0x0e8ba001a821f3ce0734763d008c9d7c957f5852,AmadeusRelay,9,1.35,0.0078251040009
0x7219612be7036d1bfa933e16ca1246008f38c5fe,The Ocean,7,59.16455627,0.007937999999999999
0xdc1882f350b42ac9a23508996254b1915c78b204,Allbit 1,21423,0,71.42059261155705
0x1f0d1de1558582ad6f13763f477119a1455502af,Saturn Network 1,1189,116.168890339,1.0728515573253035
0x39fbd1140cd1fc298f00c3ea64b3591de94c67e7,BitEye 1,383,8.56601,0.4617810963185149
0x2cc42d1cd65af27cc999e41ef93d1a763dc821f8,IDT Exchange,6,61.010001,0.01360680900579
0xc898fbee1cc94c0ff077faa5449915a506eff384,Bamboo Relay,1,0.12,3.15E-5
0xc692453625023c6e03fec04158ea31ab4de2650a,LocalCoin Dex 1,238,60.017307792,0.023884950427506785
0xe8fff15bb5e14095bfdfa8bb85d83cc900c23c56,AfroDex,163,4.32982647,0.267367389616508
0x268be5667d4e5bd036bd608d0601ef1441604429,DINNGO: Proxy,1617,12.8199,7.524179943571991
0x4aea7cf559f67cedcad07e12ae6bc00f07e8cf65,EtherDelta 1,4201,17447.717986177,38.14052723992744
0x51a2b1a38ec83b56009d5e28e6222dbb56c23c22,nDEX Market,1019,133.932228803,1.4751192764999994
0x8d12a197cb00d4747a1fe03395095ce2a5cc6819,EtherDelta 2,11348090,4133027.967025678,48095.89629068176
0xb5adb233f28c86cef693451b67e1f2d41da97d21,Bitox.io,24974,59.312074142,14.434851239399974
0x1ce7ae555139c5ef5a57cc8d814a867ee6ee33d8,Token.Store,677859,40154.724629919,1378.4581762716427
0x000000000000541e251335090ac5b47176af4f7e,dex.blue,3077,485.65427824,17.269044002713162
0x3c020e014069df790d4f4e63fd297ba4e1c8e51f,Bitcratic,12783,129.82074342,17.908286150225802
0xd2045edc40199019e221d71c0913343f7908d0d5,Paradex,8,66.541812157,0.002667
0x7ee7ca6e75de79e618e88bdf80d0b1db136b22d0,Switcheo Exchange V2,22952,9074.1930468,75.17382279845707
0x55890b06f0877a01bb5349d93b202961f8e27a9b,Shark Relay,1,0.01,4.2E-4
0xbd2a43799b83d9d0ff56b85d4c140bce3d1d1c6c,UniswapEX,525,157.607659554,0.6155896618773723
0xf92c1ad75005e6436b4ee84e88cb23ed8a290988,ParaSwap,197,169.25635572,1.0960506151404692
0xc22d5b2951db72b44cfb8089bb8cd374a3c354ea,OpenRelay,1,0.03078924,6.299999999999999E-4
0xff6b1cdfd2d3e37977d7938aa06b6d89d6675e27,Allbit 2,43086,180289.998215105,79.31697443350001
0x4524baa98f9a3b9dec57caae7633936ef96bd708,LedgerDex,2,0.435,0.0037536
0x2a0c0dbecc7e4d658f48e01e3fa353f44050c208,IDEX,8223894,3174347.40505607,36065.82342453422
0x58a5959a6c528c5d5e03f7b9e5102350e24005f1,ERC dEX,1,0,3.23535E-4
0x49497a4d914ae91d34ce80030fe620687bf333fd,DDEX 1.0,5,41.099206115,0.002580132
0x0681e844593a051e2882ec897ecd5444efe19ff2,Star Bit Ex,29,62.103,0.0083418
0x11111254369792b2ca5d084ab5eea397ca8fa48b,1inch.exchange,9007,85043.656627934,100.44188643484705
0x37c4bcaba4bcf3a605414236b8b108f160eb45a6,LocalCoin Dex 2,5,0.778265401,1.932082E-4
