address,entity,tx_received,etherreceived
0xed5cdb0d02152046e6f234ad578613831b9184d4,Bidesk 3,20281,2421.52676602
0xed8204345a0cf4639d2db61a4877128fe5cf7599,TAGZ 2,1554,874.738202504
0x3613ef1125a078ef96ffc898c4ec28d73c5b8c52,Tidex 1,51375,182703.521355882
0xd551234ae421e3bcba99a0da6d736074f22192ff,Binance 2,1891527,14817661.4675359
0xe17ee7b3c676701c66b395a35f0df4c2276a344e,DigiFinex,48106,1.056355016
0x6748f50f686bfbca6fe8ad62b22228b87f31ff2b,Huobi 2,457198,1227.3839
0x91e18ee76483fa2ec5cfe2959df46673c2565be0,Flybit,171,0.008
0x167a9333bf582556f35bd4d16a7e80e191aa6476,Coinone,397760,13816235.381062627
0x28ebe764b8f9a853509840645216d3c2c0fd774b,BiteBTC,12783,1709.34547329
0xf8d04a720520d0bcbc722b1d21ca194aa22699f2,BitUN.io 2,47866,263959.129237908
0x120a270bbc009644e35f0bb6ab13f95b8199c4ad,ShapeShift 1,44245,4459766.801956529
0xf7793d27a1b76cdf14db7c83e82c772cf7c92910,Bilaxy 1,120179,694770.26325434
0xe03c23519e18d64f144d2800e30e81b0065c48b5,Mercatox,403973,374338.6941272
0x28ffe35688ffffd0659aee2e34778b0ae4e193ad,Huobi 33,35504,1117121.91884935
0x229b5c097f9b35009ca1321ad2034d4b3d5070f6,Huobi 18,1,0.5
0xae7006588d03bd15d6954e3084a7e644596bc251,NEXBIT Pro,3085,140.602864809
0x0bb5de248dbbd31ee6c402c3c4a70293024acf74,Bidesk 2,16040,14660.53639537
0xaa90b4aae74cee41e004bc45e45a427406c4dcae,BitUN.io 1,1240,259254.51787146
0xb4cd0386d2db86f30c1a11c2b8c4f4185c1dade9,Huobi 31,61,300000.1
0xac338d9faac562df26d702880c796e1024e2698a,MinedTrade.com,451,1647.412003478
0x75e89d5979e4f6fba9f97c104c2f0afb3f1dcb88,MXC,404501,822828.862402209
0xbe0eb53f46cd790cd13851d5eff43d12404d33e8,Binance 7,218,2248501.096479763
0xa0ff1e0f30b5dda2dc01e7e828290bc72b71e57d,Bithumb 4,5,600010.9890214
0x186549a4ae594fc1f70ba4cffdac714b405be3f9,Bithumb 10,2,2.229707302
0x2140efd7ba31169c69dfff6cdc66c542f0211825,Bithumb 3,1404,3009450.978058155
0xa270f3ad1a7a82e6a3157f12a900f1e25bc4fbfd,CoinMetro Exchange,772,0
0x7ef35bb398e0416b81b019fea395219b65c52164,Huobi 17,34237,2737201.70383197
