address,entity,tx_sent,ethersent,tx_fee
0xd551234ae421e3bcba99a0da6d736074f22192ff,Binance 2,1641,14841432.935625767,2.2401328047914442
0x6748f50f686bfbca6fe8ad62b22228b87f31ff2b,Huobi 2,140,2219.68283346,0.0444620964197376
0xe17ee7b3c676701c66b395a35f0df4c2276a344e,DigiFinex,17,133.03115,0.0394945125
0x91e18ee76483fa2ec5cfe2959df46673c2565be0,Flybit,1,0.5,0.00042
0xd793281182a0e3e023116004778f45c29fc14f19,Gate.io: Contract,48,659343.580161135,0.022712314999999993
0xed8204345a0cf4639d2db61a4877128fe5cf7599,TAGZ 2,32,1395.70631257,0.014849516
0xed5cdb0d02152046e6f234ad578613831b9184d4,Bidesk 3,297,2472.398978904,0.20492639999999987
0x73f8fc2e74302eb2efda125a326655acf0dc2d1b,Huobi 35,18992,441841.966855213,11.594976539999974
0x3613ef1125a078ef96ffc898c4ec28d73c5b8c52,Tidex 1,71124,185925.407072337,14.983286559464245
0x1fd6267f0d86f62d88172b998390afee2a1f54b6,Exmo 1,765,762095.75309057,1.6737138311737885
0x9a9bed3eb03e386d66f8a29dc67dc29bbb1ccb72,Bitstamp 3,3,300001.02,0.0100415488
0xf8d04a720520d0bcbc722b1d21ca194aa22699f2,BitUN.io 2,490,263697.44100641,0.3442034697512607
0x28ebe764b8f9a853509840645216d3c2c0fd774b,BiteBTC,1743,1705.420792942,0.18266222969425192
0x3c11c3025ce387d76c2eddf1493ec55a8cc2a0f7,Idax.global,191,34888.854972937,0.17618693999999996
0x258b7b9a1ba92f47f5f4f5e733293477620a82cb,Beldex,8,2.63973868,0.0150591
0x6f803466bcd17f44fa18975bf7c509ba64bf3825,Poloniex: USDC,8,94.15,0.082945
0x167a9333bf582556f35bd4d16a7e80e191aa6476,Coinone,101019,2795185.867893202,275.59454852131938
0xcacc694840ecebadd9b4c419e5b7f1d73fedf999,Panda.Exchange 1: Hot Wallet,632,0,3.4798742080678364
0x32be343b94f860124dc4fee278fdcbd38c102d88,Poloniex,1120974,54407055.179623357,1150.6072674685743
0x926fc576b7facf6ae2d08ee2d4734c134a743988,Huobi 15,126280,3508138.310348383,36.287779458005311
0x6f48a3e70f0251d1e83a989e62aaa2281a6d5380,Huobi 22,105744,2805138.13122558,37.422442008010677
0x6262998ced04146fa42253a5c0af90ca02dfd2a3,Crypto.com,17348,145902.379756547,32.0456227240797
0x6f31d347457962c9811ff953742870ef5a755de3,CoinW 4,4,2011.1,0.0468
0x0536806df512d6cdde913cf95c9886f65b1d3462,Poloniex: GNT,30,663.984,0.25442217366834319
0x0577a79cfc63bbc0df38833ff4c4a3bf2095b404,Huobi 27,20815,460264.15354022,12.600776999999963
0xe853c56864a2ebe4576a807d26fdc4a0ada51919,Kraken 3,72,0.14991033,0.005756487000126001
0xc098b2a3aa256d2140208c3de6543aaef5cd3a94,FTX Exchange 2,3053,111016.713996836,2.1130838399967864
0xe8a0e282e6a3e8023465accd47fae39dd5db010b,Kryptono 1,2669,24903.20578745,14.309985000000001
0xead6be34ce315940264519f250d8160f369fa5cd,Poloniex: ZRX,19,408.481,0.12737992
0xd4dcd2459bb78d7a645aa7e196857d421b10d93f,Peatio,22725,267583.959756936,13.135229833000201
0x137ad9c4777e1d36e4b605e745e8f37b2b62e9c5,Huobi 24,125857,3476873.751752075,35.908788006005345
0x4df5f3610e2471095a130d7d934d551f3dde01ed,ATAIX,406,1432.29265249,0.063520025074485023
0xe03c23519e18d64f144d2800e30e81b0065c48b5,Mercatox,3070,367480.297745196,4.6139392013565637
0xf2d4766ad705e3a5c9ba5b0436b473085f82f82f,Coinhako: Warm Wallet,1600,68078.635888151,1.8869004266212206
0x90e9ddd9d8d5ae4e3763d0cf856c97594dea7325,Huobi 20,68309,1715620.749812554,25.389781605999907
0x001866ae5b3de6caa5a51543fd9fb64f524f5478,Binance 9,1152,47235.911241256,0.57436347298134
0x8958618332df62af93053cb9c535e26462c959b0,Cobinhood 1,71826,175698.462368917,84.06933081147065
0xa30d8157911ef23c46c0eb71889efe6a648a41f7,BigONE,2880,633208.765826271,65.002652583414886
0x5e032243d507c743b061ef021e2ec7fcc6d3ab89,Upbit 3,775928,14974820.067152599,986.51103347614753
0x324cc2c9fb379ea7a0d1c0862c3b48ca28d174a4,SouthXchange,33,30.996530698,0.05534336303535
0x0021845f4c2604c58f9ba5b7bff58d16a2ab372c,Folgory Exchange,10,3.129476743,0.0019083
0x742d35cc6634c0532925a3b844bc454e4438f44e,Bitfinex 2,5197,8077981.08539133,9.8048805804254275
0x48d466b7c0d32b61e8a82cd2bcf060f7c3f966df,Poloniex: GNO,8,255.01,0.069035958049331825
0x1151314c646ce4e0efd76d1af4760ae66a9fe30f,Bitfinex 1,19,33.786992927,0.043400194569448568
0x2984581ece53a4390d1f568673cf693139c97049,Cryptopia 2,13268,920.601999969,26.750731750766743
0xea81ce54a0afa10a027f65503bd52fba83d745b8,Kuna.io,56336,68073.447796498,12.261763134813464
0xb1a34309af7f29b4195a6b589737f86e14597ddc,IndoEx LTD,8,0.205470453,0.0029862
0x9c67e141c0472115aa1b98bd0088418be68fd249,HitBTC 1,115771,612419.625814186,124.84962782095465
0x1119aaefb02bf12b84d28a5d8ea48ec3c90ef1db,Trade.io,5679,11165.147187335,1.5515934999999963
0xcac725bef4f114f728cbcfd744a731c2a463c3fc,Huobi 34,59411,1773824.540677253,24.769570773277984
0x9e6316f44baeeee5d41a1070516cc5fa47baf227,ShapeShift 2,40975,1926712.74602567,19.191436835306366
0xd7c866d0d536937bf9123e02f7c052446588189f,C2CX: Hot Wallet,2070,26478.819677848,1.9722000878076547
0xab7c74abc0c4d48d1bdad5dcb26153fc8780f83e,Bitfinex: MultiSig 1,468,4545031.868499375,0.73260994417644809
0x243bec9256c9a3469da22103891465b47583d9f1,Livecoin.net,132205,292516.276080569,76.598974561681317
0x18916e1a2933cb349145a280473a5de8eb6630cb,Huobi 21,19,1100.67297661,0.0196581
0xac338d9faac562df26d702880c796e1024e2698a,MinedTrade.com,930,1668.237524661,0.83660071287137783
0x9539e0b14021a43cde41d9d45dc34969be9c7cb0,Coinbene,138216,1310998.131792016,66.791877491917333
0x2bb97b6cf6ffe53576032c11711d59bd056830ee,Paribu 2,25553,223427.716116463,25.335664111670535
0x68b22215ff74e3606bd5e6c1de8c2d68180c85f7,BitMart 2,32584,58439.244884842,16.594707213181973
0xd273bd546b11bd60214a2f9d71f22a088aafe31b,Bithumb 11,4,400002.23,0.001212096
0xaa90b4aae74cee41e004bc45e45a427406c4dcae,BitUN.io 1,14329,259256.193229061,3.3470019616558035
0x94fe3ad91dacba8ec4b82f56ff7c122181f1535d,Faa.st,6890,17623.3486646,28.42043860979836
0x5861b8446a2f6e19a067874c133f04c578928727,Huobi 14,211854,4583133.640661,45.462308519999951
0x429bf8ec3330e02401d72beade86000d9a2e19eb,CoinW 3,4081,360569.941783735,42.977241146374354
0xbd2ec7c608a06fe975dbdca729e84dedb34ecc21,Poloniex: LOOM,2,15.08,0.011745
0x7793cd85c11a924478d358d49b05b37e91b5810f,Gate.io 2,10842,11461.962513648,0.4556465280000091
0x65f9b2e4d7aaeb40ffea8c6f5844d5ad7da257e0,Poloniex: NXC,7,141.99,0.057174219326133389
0x1522900b6dafac587d499a862861c0869be6e428,Bitstamp 2,652374,589024.7015439,6883.5587296485137
0xadb2b42f6bd96f5c65920b9ac88619dce4166f94,Huobi 7,2463,108283.858000041,0.98993938615189925
0x3fbe1f8fc5ddb27d428aa60f661eaaab0d2000ce,Bithumb: Contract 1,83834,1423711.906199979,576.325003085219
0x39f6a6c85d39d5abad8a398310c52e7c374f2ba3,WhiteBIT,286,988.329087079,0.238812
0x72bcfa6932feacd91cb2ea44b0731ed8ae04d0d3,Cashierest,39380,662691.529266065,51.078872099999863
0x8d76166c22658a144c0211d87abf152e6a2d9d95,Eterbase,2411,8667.727197616,0.315889617920565
0x31d03f07178bcd74f9099afebd23b0ae30184ab5,Bithumb 8,2,2.02,0.000714
0xfa4b5be3f2f84f56703c42eb22142744e95a2c58,Huobi 11,39,950.67994428,0.02512360000000001
0x6cc5f688a315f3dc28a7781717a9a798a59fda7b,OKEx,756025,21361709.23885319,7919.054347684586
0xa96b536eef496e21f5432fd258b6f78cf3673f74,Switchain,4443,12707.62214631,1.2916548838837181
0x980a4732c8855ffc8112e6746bd62095b4c2228f,Hoo.com,82,1003.27707807,0.036989245539996746
0xd3273eba07248020bf98a8b560ec1576a612102f,ShapeShift 5,1769,668596.605220879,6.5326999758638795
0xf1c525a488a848b58b95d79da48c21ce434290f7,Eidoo,9810,0.524363084,55.105244130317523
0xa270f3ad1a7a82e6a3157f12a900f1e25bc4fbfd,CoinMetro Exchange,1,1,9e-05
0x42da8a05cb7ed9a43572b5ba1b8f82a0a6e263dc,Yunbi 2,12,18413.314948174,0.081100198829080011
0xfe9e8709d3215310075d67e3ed32a380ccf451c8,Binance 5,12897,2259234.135557442,10.702684500001629
0xba826fec90cefdf6706858e5fbafcb27a290fbe0,Upbit 2,28,5605.386038615,0.083469721800000007
0x96fc4553a00c117c5b0bed950dd625d1c16dc894,Changelly,204562,1901076.640032863,123.2843178314846
0x5e575279bf9f4acf0a130c186861454247394c06,Liqui.io 2,43859,1181.602919822,3.4364490306487574
0xeee28d484628d41a82d01e21d12e2e78d69920da,Huobi 4,12868,1859675.662890922,12.01689407968551
0x4c766def136f59f6494f0969b1355882080cf8e0,Bitstamp 5,3,185997.882767937,0.0114508488
0x07ee55aa48bb72dcc6e9d78256648910de513eca,Gemini: Contract 1,281,2629504.529393,1.2490410767188798
0xec293b9c56f06c8f71392269313d7e2da681d9ac,Hoo.com 4,88,978.968430458,0.038917270392000006
0xe93381fb4c4f14bda253907b18fad305d799241a,Huobi 10,1221,1045.2694226,0.29763176227942134
0x91f6d99b232153cb655ad3e0d05e13ef505f6cd5,Sparrow Exchange 1,1000,0.701353,5.8838479661436454
0xaa9fa73dfe17ecaa2c89b39f0bb2779613c5fc3b,Poloniex: BAT,5,51.55,0.042885
0x1b6c1a0e20af81b922cb454c3e52408496ee7201,LAToken 3,14,731.510316499,0.010765000000000004
0x4b01721f0244e7c5b5f63c20942850e447f5a5ee,CoinExchange.io,342088,333237.509502682,187.86477686458818
0x5401dbf7da53e1c9dbf484e3d69505815f2f5e6e,Huobi 25,60183,1232086.490248742,23.92091497910555
0xfd54078badd5653571726c3370afb127351a6f26,Huobi 30,26,2052.17917,0.020695500000000002
0x88d34944cf554e9cccf4a24292d891f620e9c94f,Bithumb 1,72712,1877661.667085509,63.018689080090056
0x794d28ac31bcb136294761a556b68d2634094153,Huobi 29,18358,409567.544868578,11.214671999999977
0xc6cde7c39eb2f0f0095f41570af89efc2c1ea828,Bitfinex: MultiSig 2,494,0.2,2.8821404476999994
0x28ffe35688ffffd0659aee2e34778b0ae4e193ad,Huobi 33,37898,1282819.043750072,20.3905088854014
0x229b5c097f9b35009ca1321ad2034d4b3d5070f6,Huobi 18,41,657334.645020303,0.048029235999999996
0x2910543af39aba0cd09dbb2d50200b3e800a63d2,Kraken,9877,26386022.236908288,387.21959369289095
0x059799f2261d37b829c2850cee67b5b975432271,Bitstamp 4,9,300001.00007,0.01152252165625
0xd7b9a9b2f665849c4071ad5af77d8c76aa30fb32,Exmo 2,1331795,371774.833563596,355.85272388874773
0xd8a83b72377476d0a66683cde20a8aad0b628713,Huobi 19,158916,3955589.584732601,42.278440450005419
0xe855283086fbee485aecf2084345a91424c23954,Sparrow Exchange 2,809,0,12.66294457739099
0x2140efd7ba31169c69dfff6cdc66c542f0211825,Bithumb 3,108068,2849547.425463702,194.67780215998096
0x7ef35bb398e0416b81b019fea395219b65c52164,Huobi 17,113975,2775085.271045691,33.188918096002617
0x993b7fcba51d8f75c2dfaec0d17b6649ee0c9068,Hoo.com 3,83,1481.947190117,0.037708366712130105
0x007174732705604bbbf77038332dc52fd5a5000c,BlockTrades Exchange,54580,229765.082932233,19.301920528581928
0xf977814e90da44bfa03b6295a0616a897441acec,Binance 8,8,1579612.422499763,0.0019887000000000004
0x3b0bc51ab9de1e5b7b6e34e5b960285805c41736,ShapeShift 6,1810,681352.878901878,6.7472475188284138
0xfb9f7f41319157ac5c5dccae308a63a4337ad5d9,Bity.com,47811,547441.128430419,27.442047448533543
0xa12431d0b9db640034b0cdfceef9cce161e62be4,HitBTC 3,299590,3661435.091093489,13.563634602806923
0x1c4b70a3968436b9a0a9cf5205c787eb81bb558c,Gate.io 3,36479,656654.399781077,5.5551992034000008
0xd24400ae8bfebb18ca49be86258a3c749cf46853,Gemini,4294,1464824.281621115,1.8951734645010254
0x9fb01a2584aac5aae3fab1ed25f86c5269b32999,GGBTC.com,828,4925.407861968,0.15293876950474758
0x5c985e89dde482efe97ea9f1950ad149eb73829b,Huobi 5,771,53167.54046598,0.18179422000018
0x0a73573cf2903d2d8305b1ecb9e9730186a312ae,Tidex 2,14529,394.117763854,0.74220104190045411
0x915d7915f2b469bb654a7d903a5d4417cb8ea7df,FCoin,126180,2278206.830063116,52.07108675524249
0x75e89d5979e4f6fba9f97c104c2f0afb3f1dcb88,MXC,39866,823485.539154101,13.587409847195309
0xa0ff1e0f30b5dda2dc01e7e828290bc72b71e57d,Bithumb 4,15,685797.269233762,0.0093917290000000014
0xbe0eb53f46cd790cd13851d5eff43d12404d33e8,Binance 7,36,4323355.632453432,0.021510329356260002
0x186549a4ae594fc1f70ba4cffdac714b405be3f9,Bithumb 10,4,200001.00001,0.001026576
0x9f5ca0012b9b72e8f3db57092a6f26bf4f13dc69,GBX,21,3517.1511902,0.015185
0x034f854b44d28e26386c1bc37ff9b20c6380b00d,Huobi 26,216151,5380885.034043223,53.249157222370805
0x4b729cf402cfcffd057e254924b32241aedc1795,Bit-Z,63968,890291.047104118,90.045512135991757
0x6795cf8eb25585eadc356ae32ac6641016c550f2,Poloniex: SNT,3,27.22,0.03114
0xadb72986ead16bdbc99208086bd431c1aa38938e,Beaxy,2,0.389122123,0.000504
0xfbb1b73c4f0bda4f67dca266ce6ef42f520fbb98,Bittrex,235488,3885881.471883283,270.34430520043111
0xea3a46bd1dbd0620d80037f70d0bf7c7dc5a837c,TAGZ 1,368,1608.516798616,0.10042962509582941
0xeed16856d551569d134530ee3967ec79995e2051,ShapeShift 7,2100,763914.727915417,7.2260268922332713
0xc0e30823e5e628df8bc9bf2636a347e1512f0ecb,Poloniex: MANA,2,15.08,0.02076
0xdc76cd25977e0a5ae17155770273ad58648900d3,Huobi 6,320,2331864.01350222,0.24174096699999997
0x9cbadd5ce7e14742f70414a6dcbd4e7bb8712719,Indodax 2,80,85177.61102,0.198948
0xa7efae728d2936e78bda97dc267687568dd593f3,OKEx 3,66029,2828248.14971965,549.33070500000292
0xd1560b3984b7481cd9a8f40435a53c860187174d,COSS.io 2,32142,39099.4773985,234.66682391457033
0xdf4b6fb700c428476bd3c02e6fa83e110741145b,Liquid 2,198,299224.109915,0.0535371956486
0xab83d182f3485cf1d6ccdd34c7cfef95b4c08da4,Binance JEX,4010,25274.43680625,14.044174999999981
0x4d77a1144dc74f26838b69391a6d3b1e403d0990,Huobi 32,11,479702,0.0067620599999999994
0x51836a753e344257b361519e948ffcaf5fb8d521,Indodax 1,135,60583.180098153,0.085933327911142332
0x0c6c34cdd915845376fb5407e0895196c9dd4eec,Huobi 28,4,0.4,0.00079799999999999988
0x521db06bf657ed1d6c98553a70319a8ddbac75a3,CREX24,30827,31843.293837318,20.732731500922505
0x59a5208b32e627891c389ebafc644145224006e8,HitBTC 2,4067,3710137.488610493,10.119773336624268
0xab5c66752a9e8167967685f1450532fb96d5d24f,Huobi 1,3251,241643.057809613,1.1312614039568041
0x2a048d9a8ffdd239f063b09854976c3049ae659c,QuantaEx 3,39,10.767449904,0.016833599999999997
0xed48dc0628789c2956b1e41726d062a86ec45bff,Bithumb 9,3,1.00555201,0.0015119999999999999
0xb709d82f0706476457ae6bad7c3534fbf424382c,Panda.Exchange 2: Hot Wallet,318,0,1.9479683704840007
0x33683b94334eebc9bd3ea85ddbda4a86fb461405,Coinbene: Cold Wallet,30378,734654.452796549,13.101057160102959
0x2faf487a4414fe77e2327f0bf4ae2a264a776ad2,FTX Exchange,12,86,0.0290864
0x88988d6ef12d7084e34814b9edafa01ae0d05082,CamboChanger 2,3,10.70672903,0.0014910000000000001
0xfdb16996831753d5331ff813c29a93c76834a0ad,Huobi 3,2374,58475.184591876,1.1359970999999989
0xf0c80fb9fb22bef8269cb6feb9a51130288a671f,Artis Turba Exchange 1,1246,282.546912637,0.14277610968219853
0x0068eb681ec52dbd9944517d785727310b494575,Tokocrypto,31,1832.427559673,0.038723414
0x82a403c14483931b2ff6e4440c8373ccfee698b8,ArzPaya.com,2,0.06,0.0009555
0x30b71d015f60e2f959743038ce0aaec9b4c1ea44,Kryptono 3,11604,23555.33246658,135.02422180800065
0x31a2feb9b5d3b5f4e76c71d6c92fc46ebb3cb1c1,Poloniex: CVC,13,209.465,0.09843445982317349
0x15878e87c685f866edfaf454be6dc06fa517b35b,Bithumb 7,1,3,0.000252
0x6b71834d65c5c4d8ed158d54b47e6ea4ff4e5437,Poloniex: FOAM,1,14.99,0.01038
0x209c4784ab1e8183cf58ca33cb740efbf3fc18ef,Poloniex 2,1814557,43276269.639269699,2290.3297653591958
0x2f1233ec3a4930fd95874291db7da9e90dfb2f03,Uex,4572,66613.37578747,7.4827432299991923
0x4dc98c79a52968a6c20ce9a7a08d5e8d1c2d5605,CamboChanger,17,47.958591537,0.012848433000000001
0x8d451ae5ee8f557a9ce7a9d7be8a8cb40002d5cb,Poloniex: KNC,2,15.23,0.02076
0x03e3ff995863828554282e80870b489cc31dc8bc,OMGFIN Exchange,166,28.014628548,0.016311069718944
0x236f9f97e0e62388479bf9e5ba4889e46b0273c3,OKEx 2,203126,4383789.274189243,152.16013842730672
0x03bdf69b1322d623836afbd27679a1c0afa067e9,Bitmax 1,45492,468920.669855519,9.1215933920900945
0x4e9ce36e442e55ecd9025b9a6e0d88485d628a67,Binance 6,62,3246786.230808902,0.044509356000000014
0x700f6912e5753e91ea3fae877a2374a2db1245d7,Yunbi 3,1,50,0.0018
0x05f51aab068caa6ab7eeb672f88c180f67f17ec7,ABCC,19869,164402.709356879,5.411746699477531
0x5d375281582791a38e0348915fa9cbc6139e9c2a,BitBlinx,51,125.9837677,0.0061674154500000007
0x57a47cfe647306a406118b6cf36459a1756823d0,Bitexlive 2,5,0.0013,0.0007944
0x00bdb5699745f5b860228c8f939abf1b9ae374ed,Bitstamp 1,51,824.306873786,0.59358780000000011
0x274f3c32c90517975e29dfc209a23f315c1e5fc7,Hotbit,171398,653351.633334154,151.18714332929235
0xf73c3c65bde10bf26c2e1763104e609a41702efe,Bibox,182695,1935195.093895581,153.68997110187544
0x3052cd6bf951449a984fe4b5a38b46aef9455c8e,Bithumb 2,97684,4156038.192439941,122.80303851043234
0x61edcdf5bb737adffe5043706e7c5bb1f1a56eea,Gemini 3,172,1921005.00123114,0.54167379630569634
0x00cdc153aa8894d08207719fe921fff964f28ba3,Bitzlato,37562,55600.067659754,8.10285728775313
0x4e5b2e1dc63f6b91cb6cd759936495434c7e972f,FixedFloat,7298,8381.818769372,1.1221451999999976
