address,entity,tx_received,etherreceived
0x0e57edba0fccb1e388926193c873120cab961fee,Bitpoint Hacker 1,2,13027.795396634
0xa09871aeadf4994ca12f5c0b6056bbd1d343c029,Upbit Hacker 1,13,342300.161271
0xcf267ea3f1ebae3c29fea0a3253f94f3122c2199,SpankChain Hacker,14,178.813296555
0xbceaa0040764009fdcff407e82ad1f06465fd2c4,Bancor Hacker,2,25533.613908758
0x04786aada9deea2150deab7b3b8911c309f5ed90,Gatecoin Hacker 4,12,21601
0xb3764761e297d6f121e79c32a65829cd1ddb4d32,Multisig Exploit Hacker,14,70020
0x9007a0421145b06a0345d55a8c0f0327f62a2224,Cryptopia Hacker 3,208,156.83
0x6ca33486eed915816560630b883a047c4e2b92df,Fake: Metadium Presale,115,1473.34
0xc8b759860149542a98a3eb57c14aadf59d6d89b9,Cryptopia Hacker 1,9,28776.738118682
0xa7f72bf63edeca25636f0b13ec5135296ca2ebb2,DragonEx Hacker,45,2738.184529409
0x1503b6cb665fea9a128a56244df392e950593486,Bitpoint Hacker 2,2,13027.794220634
0xc062dceed93087c9112ff7b02d53e928e49cec09,Gatecoin Hacker 3,1,4999.99937
0xf6884686a999f5ae6c1af03db92bab9c6d7dc8de,Coinrail Hacker,18,1693.512132673
0xf4a2eff88a408ff4c4550148151c33c93442619e,Plus Token Ponzi 1,1668,9256221.84868144
0xaa923cd02364bb8a4c3d6f894178d2e12231655c,Cryptopia Hacker 2,2,30789.732010776
