address,entity,tx_sent,ethersent,tx_fee
0xb3764761e297d6f121e79c32a65829cd1ddb4d32,Multisig Exploit Hacker,19,0.085050371,0.013082284000000001
0xd4914762f9bd566bd0882b71af5439c0476d2ff6,Gatecoin Hacker 1,14,59480.51,0.025070808000000003
0x0e57edba0fccb1e388926193c873120cab961fee,Bitpoint Hacker 1,7380,13027.797118654,9.298800000000837
0xa7f72bf63edeca25636f0b13ec5135296ca2ebb2,DragonEx Hacker,1525,2738.215018251,0.61410087199998
0x04786aada9deea2150deab7b3b8911c309f5ed90,Gatecoin Hacker 4,16,58858.52257155,0.025863179999999996
0x1342a001544b8b7ae4a5d374e33114c66d78bd5f,Gatecoin Hacker 2,13,59491.41,0.023270808
0xf6884686a999f5ae6c1af03db92bab9c6d7dc8de,Coinrail Hacker,5,8947,0.007161000000000001
0xaa923cd02364bb8a4c3d6f894178d2e12231655c,Cryptopia Hacker 2,25,30789.732430776,0.03260973183687199
0xc062dceed93087c9112ff7b02d53e928e49cec09,Gatecoin Hacker 3,1,5000,0.0018
0xa09871aeadf4994ca12f5c0b6056bbd1d343c029,Upbit Hacker 1,103,342300.228140938,0.2507744633953888
0x6ca33486eed915816560630b883a047c4e2b92df,Fake: Metadium Presale,22,5136.27095012,0.030186
0xbceaa0040764009fdcff407e82ad1f06465fd2c4,Bancor Hacker,1,25533.614328758,1.8899999999999999E-4
0xcf267ea3f1ebae3c29fea0a3253f94f3122c2199,SpankChain Hacker,2,5.5,2.7299999999999997E-4
0x9007a0421145b06a0345d55a8c0f0327f62a2224,Cryptopia Hacker 3,31,157.505964488,0.116123
0x1503b6cb665fea9a128a56244df392e950593486,Bitpoint Hacker 2,3,13027.795396634,0.0017850000000000001
0xc8b759860149542a98a3eb57c14aadf59d6d89b9,Cryptopia Hacker 1,76084,28776.746123445,125.69999370004354
0xf4a2eff88a408ff4c4550148151c33c93442619e,Plus Token Ponzi 1,1006019,9256222.193243126,432.94527897553405
