address,entity,tx_sent,ethersent,tx_fee
0xea674fdde714fd979de3edf0f56aa9716b898ec8,Ethermine,462,96838.906467978,0.8138527776228521
0x04668ec2f57cc15c381b461b9fedab5d451c8f7f,zhizhu.top,27,550.764837208,0.053643464781228806
0xd5bbb4264b70ca4f58c45d27b9d7e11190754a54,NoobPool,20,8.217342683,0.013035000000000001
0x2a98776c7e13ed1c240858bd241dcf95fc1928b4,myminers.org: Solo,12,2.93372842,0.006165
0x09ab1303d3ccaf5f018cd511146b07a240c70294,Minerall Pool,1,0,3.7799999999999997E-4
0x4c549990a7ef3fea8784406c1eecc98bf4211fa5,Hiveon: Mining Pool 1,7,410.01,0.0038987485267199997
0xe6a7a1d47ff21b6321162aea7c6cb457d5476bca,Ethpool,11,92.409946738,0.07602860947023098
0xeea5b82b61424df8020f5fedd81767f2d0d25bfb,BTC.com Pool,54,1406.216571604,0.05356083048712819
0x63a9975ba31b0b9626b34300f7f627147df1f526,Suprnova 2,56,15638.38646267,0.24934894893306003
0xa027231f42c80ca4125b5cb962a21cd4f812e88f,Eth.pp.ua,2,0.1081,0.003606
0xf35074bbd0a9aee46f4ea137971feec024ab704e,ETH.SoloPool.org,1,0.001,1.38E-4
0x8595dd9e0438640b5e1254f9df579ac12a86865f,EzilPool 2,2,22.249734965,0.001512
0x52e44f279f4203dcf680395379e5f9990a69f13c,Bw Pool,1,0.001,8.610000000000001E-4
0xa3c084ae80a3f03963017669bc696e961d3ae5d5,Uleypool,5,0.46,0.0013335
0x8d35067233605bef6069191ae0922d134ff80d48,EtherDig,70,500.62642489,0.38511459400093995
0xa7b0536fb02c593b0dfd82bd65aacbdd19ae4777,Poolin,3,664.747609699,6.236999999999999E-4
0xf8b483dba2c3b7176a3da549ad41a48bb3121069,Coinotron 1,17,203.13131,0.024789041999999997
0x00192fb10df37c9fb26829eb2cc623cd1bf599e8,2Miners: PPLNS,26,34.588641904,0.03227200000000001
0x2a65aca4d5fc5b5c859090a6c34d164135398226,DwarfPool,32,6031.929024211,0.024059812500000003
0x44fd3ab8381cc3d14afa7c4af7fd13cdc65026e1,W POOL,40,374.111301858,0.08675444531250001
0xd0db3c9cf4029bac5a9ed216cd174cba5dbf047c,HashON Pool,1,0.116,1.848E-4
0x6a7a43be33ba930fe58f34e07d0ad6ba7adb9b1f,Coinotron 3,22,475.717484629,0.06637300000000002
0xa855c20a1351acd2690c716e2709c7dff3978d12,AntPool,2,0.021,8.799000000000001E-4
0xcc22cb1b6625b64e81909456111d76be6158dfbc,EzilPool 1,14,117.34004496,0.011791080000000002
0x14b30f257c2737370203a15aa343c2b600dfb675,Huixingpool.com,6,41.5,0.0131028
0x002e08000acbbae2155fab7ac01929564949070d,2Miners: SOLO,7,4.767101177,0.0157894
0xcf0e04cc0b8fcd66f42679bce42bf2569f438234,DigiPools,16,4.352187094,0.32519200051200003
0x5a0b54d5dc17e0aadc383d2db43b0a0d3e029c4c,Spark Pool,89,672.348639338,0.1022838818587663
0x7f3b29ae0d5edae9bb148537d4ed2b12beddf8b3,MATPool,4,51.671845507,0.006972000000021
0x829bd824b016326a401d083b33d092293333a830,F2Pool,4063,6694.156247244,0.5102197659289959
0x4bb96091ee9d802ed039c4d1a5f6216f90f81b01,Ethpool 2,29,30.166603925,0.04792126122932
0xb6cf40aee9990c25d7d6193952af222e120b31c2,FKPool,5,228.6063073,3.15E-4
0x06b8c5883ec71bc3f4b332081519f23834c8706e,Mining Express,21,206.048309083,0.00906334800009
0xff1b891969773159366ab6310ff63a69ac4acffd,BaikalMine 1,6,1.510240626,0.010231575000000001
0x433022c4066558e7a32d850f02d2da5ca782174d,ALTpool.pro,1,0.309254683,1.6800000000000002E-4
0xf3b9d2c81f2b24b0fa0acaaa865b7d9ced5fc2fb,BitClubPool,195,12926.86666065,0.28837024603464984
0xd1e56c2e765180aa0371928fd4d1e41fbcda34d4,Weipool,433,174.594050702,0.927865578190362
0x47c439c8784b44366735fc2cfe08228cb91d5b8e,PoolHub,4,0.190517072,0.0031160999999999993
0xe4bdced60430a90f31dba03524dd5d15a2670649,xnpool.cn,130,2035.30258996,0.13856341657725002
0x151255dd9e38e44db38ea06ec66d0d113d6cbe37,DwarfPool 2,1,1000,9.0E-4
0x9435d50503aee35c8757ae4933f7a0ab56597805,WaterholePool,224,946.745387556,0.3760272854561253
0xf64f9720cfcb59ca4f5f45e6fdb3f68b875b7295,ICanMining.ru,9,2.130975659,0.0020907
0x9d6d492bd500da5b33cf95a5d610a73360fcaaa0,Huobi Mining Pool,75,23390.97427855,0.0230299218623716
0x7c6694032b4db11ac485e1cff0f7509d58b41569,Whalesburg Pool: Old Address,328,791.73419986,2.75644623872
0x52bc44d5378309ee2abf1539bf71de1b7d7be3b5,Nanopool,410,538.843055242,0.47299902794541476
0xa42af2c70d316684e57aefcc6e393fecb1c7e84e,Coinotron 2,17,506.76425397,0.08085703103655001
0x4e4e23ac3c11789e23169025503ea4373b01417b,KuveraPool,239,283.891735753,0.011949999999999997
0x6c3183792fbb4a4dd276451af6baf5c66d5f5e48,MaxHash: EthPool,5,0.543852967,0.012085
0x52f13e25754d822a3550d0b68fdefe9304d27ae8,EthashPool 2,2,3.6584,0.0017596186486199998
0x9d551f41fed6fc27b719777c224dfecce170004d,EthereumPool,4,123.872241428,0.018
0x249bdb4499bd7c683664c149276c1d86108e2137,Cruxpool,19,15.15514381,0.005577
0x8fce1ef27f3add1411c7a99be402de598ad38389,EthashPool 1,48,7.498042746,0.02473675000005001
0x6b7d50bb8fab584e54251a10e1c6cfa51dd7b618,PandaPool,5,245.80703048,0.30475720000000006
0xc839ee5542b4e8413246b3634c5c739fea949562,AlphaPool,80,7.536267,0.3600000000000001
0x99c85bb64564d9ef9a99621301f22c9993cb89e3,BeePool,13,113.8934061,0.018990515000000003
0x68795c4aa09d6f4ed3e5deddf8c2ad3049a601da,CoinMine.pl,4,370,0.016458129999999998
0x35f61dfb08ada13eba64bf156b80df3d5b3a738d,firepool,41,656.428351381,0.046483738765190394
0xc4aeb20798368c48b27280847e187bb332b9bc77,Easy2Mine,3,925.001,1.93725E-4
0xd34da389374caad1a048fbdc4569aae33fd5a375,Genesis Mining,1085,203934.698101506,1.3692746677893013
