address,entity,tx_received,etherreceived
0x412bc03309d61d372b13ddc9bd3b63b192f03863,Mew: Phishing 1,2,476.724703666
0xd1611ddb20f1819c6506868530328f32d3317981,Fake_Phishing2512,12,20.46213887
0x76bb5b6177096b337c79f2f948aa08b0db5f5211,Fake_Phishing2079,12,36.330306468
0xfcf10f54105223dfcd8edce0c62352a059ce1e19,Fake_Phishing2550,2,1.010036
0xe078f809e7c766acf8666ab94189e3fb86833458,Fake_Phishing3609,24,46.90614879
0xc440015b2311b109949309a81624fb4dbadecdd0,Fake_Phishing361,60,91.490402356
0x888f2e62a1465f99ef19dde35751998320eb4631,Fake_Phishing3065,2,0
0x9849424a2f3516b70b56d70330c45c25dccb2c02,Fake_Phishing1272,6,26.480981445
0xfa9980a7240ea1beb0b5ce58c0744fcd67f06104,Fake_Phishing1676,4,57.967850119
0x8db82c361c101cac757d709200b23ffc8e69fad2,Fake_Phishing2057,2,0.73308
0x5a733412e4fbb89e7ebb7efbbd1b79d5fda4f4cc,Fake_Phishing2162,1,2.632008324
0x1e3c07ce10973fcaebc81468af1d3f390d2a4c71,Fake_Phishing678,15,196.652030654
0xa0a51563ca933ecdf030f84425def24ab8cc6733,Fake_Phishing2190,1,5.25
0xdd1db171b110fb857311fde3236217894e7e9ab8,Fake_Phishing1331,2,0
0x860f3b648111294346897c6a8309ffbf22265526,Fake_Phishing727,1,10.94755528
0x44b4e9556db513df11ec90ae008a4e84680a1da1,Fake_Phishing1439,1,0.149832
0x56ccaa034a0bdb7d3a9515cb580fb5448efb584c,Fake_Phishing1549,1,22.73342029
0xd43ef129b939dd893096b3becefd262d7aa967bf,Fake_Phishing1502,5,3.255822259
0x1086feeb031e45e8fcd770662aa8302d7c23ba1f,Fake_Phishing61,263,332.44
0x068d4b395064c94883b508fa2eb75b9dd08b5e4d,Fake_Phishing3291,50,7.932077
0xbe153f80f3180875dbbf75d49a47ce8633922b13,Fake_Phishing2627,3,39.32078539
0x14258a5ddcad7001e8ac89b539df7e0f08a34500,Fake_Phishing648,3,4.13102561
0x3f2d73bd4f07044e33b4b9161a9a812ff044f02a,Fake_Phishing2561,1,3.9859
0xd44c13f838462ef1bd983e9ca5d5b9e158138746,Fake_Phishing2026,1,1.1715262
0x379e2308268554dc930c235ca6b6258920898cce,Fake_Phishing3125,3,3.09979
0x28ccdb023ccf37041d851a9483db55f6c105f507,Fake_Phishing935,4,9.54300606
0x7a023247e70ad842b0c1226e09185b461a1cd47d,Fake_Phishing3950,2,0.5045002
0x008f3db10374099a11ec263415cb88c952abeedc,Fake_Phishing87,8,116.996572
0x980844d9bc79f363cafe22a371f6244232402e79,Ian Balina Hacker 1,119,1338.478356133
0xa1b04a60a35854d0749ae39b0346bceb55247ecc,Fake_Phishing4010,3,2.14405764
0xb1898895a2ac9ef09afeda89ee559427b7142f2e,Fake_Phishing2629,9,499.99927235
0xaf8185ffff6a3508fc5498a5165bf64de0b0a1e5,Fake_Phishing1533,20,2.49
0xa42892745f9e07d9b92cb188a380b252a332823b,Fake_Phishing205,1,349.880100965
0x130e4d8300e692b5d40bab4a7e15cc2e2acb6e07,Fake_Phishing2665,1,19.999916
0xb9b9b6aca1a0cf4ea4eb0ced466d66a62f8eb072,Fake_Phishing1119,2,20.321059473
0xc9746c60b47aebbf13ba8e45144e4c2ddb3f0cba,Fake_Phishing3167,2,41.7449937
0x68412063a56225ae349296a1db47788ccef4597c,Fake_Phishing2088,1,15.62898967
0xfcdd417b449c982fc9b6d7b117e417682e81b627,Fake_Phishing256,1,0.49874
0xd8a054e24dca6ab7327556262bd186902095b893,Fake_Phishing1354,26,17.012375413
0x9dbb4976ff2836a6561da7e1e244bc862d2a1977,Fake_Phishing4120,1,6.56347654
0xcfea5178bfb5266c84d0b3f951ae17fe51862b7b,Fake_Phishing2801,1,1.98
0xa22270850fabde01e1f5c5879ea65dd82890af31,Fake_Phishing1668,1,0.55395688
0xdb53ce480bac3ce96fdb79fae1156f80b6925e05,Fake_Phishing1053,88,119.110893045
0x7098c7113c2ecaf48baad07e598c74c2689a5795,Fake_Phishing106,2,49.261769314
0x5b7fe67e46b901272c449e5015550447666247fc,Scam: RHOC Token 4,1,0
0xece7de131f2e338c6e76291ed597b359b2b3be7d,Fake_Phishing2010,1,0.549097
0xd582cec308d9320b2ec3dc2868b56549fc8ace5a,Fake_Phishing1117,1,7.24215875
0x4237a7b1c593011b51d9a369392943e078bd570f,Fake_Phishing994,1,7.52712596
0x0697f9d4db21472b3461aa07be39b16cd5b56eca,Fake_Phishing842,3,26.199523462
0x8c966ffddd04dd3169016ea0ec1d55465fb40d37,Fake_Phishing410,1,5.04514642
0x97944ca6714f3d72b399b5c9cfd3f2411475bb70,Fake_Phishing3000,1,0.09277146
0x51dcd13361c5d921d2c4818e419011301e7be34e,Fake_Phishing258,1,0.140189
0xd0cc2b24980cbcca47ef755da88b220a82291407,Fake_Phishing23,66,366.92118982
0x5ab35e76fad0e983d3f241efef7272b127aaa617,Fake_Phishing30,18,920.991222
0x508d7e3310c49188cf5c7788d3043aad80fe3656,Fake_Phishing639,2,0.11381833
0x175f6dbf87215a6da7107977b4680bc3db31b2de,Fake_Phishing693,20,13.05
0x0061fb5485dff4bb85c078dca80d19119224d97e,Fake_Phishing1689,1,1
0xed51c3c2fb6e6965aed7beec167b0596dc36116d,Fake_Phishing1386,2,2.64309328
0xfe6a7af33bc236df6e464d73f356c07af3fc71f3,Fake_Phishing3126,1,2.5
0x6834d3096793d0731348f1581ae1b20c9b79e26a,Fake_Phishing722,3,0.139895
0xd8d0506ed425364ee126819e8b73fc3160c39d49,Fake_Phishing1746,8,15.190001116
0xd13b2d98852df7191f2004ee183a7a1a352e11e9,Fake_Phishing2341,177,422.26067495
0xcc9cd9d0ca055616093c52741f19a01fb8fd709c,Fake_Phishing2822,10,108.176086961
0xa5712afa19d70bb5dd57b91c43fffcaaf077dc3d,Fake_Phishing1695,53,14.92343718
0xf80be608e2d2fd5f6f1a03082379f7ec0c9967dc,Fake_Phishing3723,1,2.02017174
0xcc3a7e3c3cdcba86761de4fb3311b8add77761f2,Fake_Phishing4094,2,19.768428147
0x9dbf942be15c70c4e1fb8c0d1b53007377bcaa09,Fake_Phishing2113,4,3.49490168
0xe2cdf17f29a567846302969fb7578f7d35bec432,Fake_Phishing2807,24,2.874894613
0xd36f0976d54b9f1c0445142e885d3169b77da020,Hack: MerkleTreeVentures 2,26,259.943157404
0x126de4b8b4e10840e7931e5858425f35c99bd323,Fake_Phishing3745,1,2.31248885
0x3c7c92bbcd9de6d93c04c2f3544c837da567d805,Fake_Phishing3777,1,0.99958
0xa9723e26b6853c343a5fafc5a86e7d664c727fcd,Fake_Phishing796,1,29.57220951
0xaa2498d85ba7559006f90110a4bc33c10a06c1af,Fake_Phishing520,8,51.92081399
0x7c875ee4d4a1b29b41ebb2678df1f645f28d090b,Fake_Phishing1953,1,7.37122387
0xf880b70ce700297f70ffad94eebcbc7ead6b1b48,Fake_Phishing3768,2,2.249433
0x17897c5c38362d8f620e70fee0adba109af5db2d,Fake_Phishing857,8,32.61741706
0x2f8debdcf62eb537871daede11f790d84ddf35cf,Fake_Phishing2939,5,12.987859744
0x06d0bab6af8fcb162f044a0fe5eb56dad29735d6,Fake_Phishing3785,5,0.40285211
0x4e87016fd144e1716b9985afb704fc359d243a4f,Fake_Phishing366,41,42.598221225
0x832ad88f1e81d46f9d80298597c80b577b6d4736,Fake_Phishing2013,1,0.499517
