address,entity,tx_received,etherreceived
0x120a270bbc009644e35f0bb6ab13f95b8199c4ad,ShapeShift 1,44245,4459766.801956529
0xb36efd48c9912bd9fd58b67b65f7438f6364a256,ShapeShift: Binance Deposit,7248,242277.395349827
0xda1e5d4cc9873963f788562354b55a772253b92f,ShapeShift: Bitfinex Deposit,6284,1123201.640331565
0x9e6316f44baeeee5d41a1070516cc5fa47baf227,ShapeShift 2,62268,2577939.845576314
0x563b377a956c80d77a7c613a9343699ad6123911,ShapeShift 4,369869,756282.426622398
0x70faa28a6b8d6829a4b1e649d26ec9a2a39ba413,ShapeShift 3,301284,9399572.706418037
0xeed16856d551569d134530ee3967ec79995e2051,ShapeShift 7,370246,763829.063892338
0x3b0bc51ab9de1e5b7b6e34e5b960285805c41736,ShapeShift 6,347947,681251.433506304
0xd3273eba07248020bf98a8b560ec1576a612102f,ShapeShift 5,351506,668277.111274239
0xe9319eba87af7c2fc1f55ccde9d10ea8efbd592d,ShapeShift: Bittrex Deposit,2005,330258.251683656
