Address,Entity,Balance,Total_tx
0x1151314c646ce4e0efd76d1af4760ae66a9fe30f,Bitfinex 1,9.9617274 Ether,"391,318"
0x742d35cc6634c0532925a3b844bc454e4438f44e,Bitfinex 2,"3,640,419.56171752 Ether","9,085"
0x876eabf441b2ee5b5b0554fd502a8e0600950cfa,Bitfinex 3,"7,538.15993833 Ether","1,709,978"
0x7727e5113d1d161373623e5f49fd568b4f543a9e,Bitfinex: Contract 1,0 Ether,"513,181"
0x0e55c54249f25f70d519b7fb1c20e3331e7ba76d,Bitfinex: Contract 2,0 Ether,496
0x5dbdebcae07cc958ba5290ff9deaae554e29e7b4,Bitfinex: Deployer 1,11.08707483 Ether,4
0x2ee3b2df6534abc759ffe994f7b8dcdfaa02cd31,Bitfinex: Deployer 2,0.986238 Ether,7
0xe1f3c653248de6894d683cb2f10de7ca2253046f,Bitfinex: Deployer 3,3.63767286 Ether,"1,201"
0x2903cadbe271e057edef157340b52a5898d7424f,Bitfinex: Deployer 4,1.91725729 Ether,45
0x36928500bc1dcd7af6a2b4008875cc336b927d57,Bitfinex: Deployer 5,0.0161001 Ether,127
0x14d06788090769f669427b6aea1c0240d2321f34,Bitfinex: Deployer 6,0 Ether,611
0x2af5d2ad76741191d15dfe7bf6ac92d4bd912ca3,Bitfinex: LEO Token,0 Ether,"37,795"
0xab7c74abc0c4d48d1bdad5dcb26153fc8780f83e,Bitfinex: MultiSig 1,"999,998.02470426 Ether",496
0xc6cde7c39eb2f0f0095f41570af89efc2c1ea828,Bitfinex: MultiSig 2,"16,507.41412363 Ether","2,273"
0xcafb10ee663f465f9d10588ac44ed20ed608c11e,Bitfinex: Old Address 1,0.09687243 Ether,"8,167"
0x7180eb39a6264938fdb3effd7341c4727c382153,Bitfinex: Old Address 2,0.0035395 Ether,"38,271"
0x69c6dcc8f83b196605fa1076897af0e7e2b6b044,Bitfinex: Old Contract 1,0 Ether,13
0x8d5a41e85f4ce2433beef476305d307b9205d98d,Bitfinex: Old Contract 2,0 Ether,737
0xabdf147870235fcfc34153828c769a70b3fae01f,Tether EUR,0 Ether,122
0x4922a015c4407f87432b179bb209e125432e4a2a,Tether Gold: XAUt Token,0 Ether,"3,070"
0xdac17f958d2ee523a2206206994597c13d831ec7,Tether: USDT Stablecoin,1 wei,"71,986,433"
