Address,Entity,Balance,Total_tx
0x99d9df67196190e9f12eac7414f02e62c5bf9eab,Balancer: DAI/YYFI 98/2 #2,0 Ether,562
0x6a164122d5cf7c840d26e829b46dcc4ed6c0ae48,CoinDash: Token Sale,"13,000.46725884 Ether","2,140"
0x2f30ff3428d62748a1d993f2cc6c9b55df40b4d7,Compromised: Honeypot,0 Ether,3
0x80e4f014c98320eab524ae16b0aaf1603f4dc01d,Compromised: Honeypot 2,0.81352556 Ether,"1,329"
0x31b9eb2bb4bd06b56132282c82d0437d77d2339e,Compromised: Honeypot 3,0 Ether,7
0x84f4bcc4e841afdfde7899662f8bbd7d6a71c112,Compromised: Upbit Hack Funds,0 Ether,798
0x5baeac0a0417a05733884852aa068b706967e790,Cryptopia 1,0 Ether,"519,426"
0x2984581ece53a4390d1f568673cf693139c97049,Cryptopia 2,0.39078397 Ether,"356,515"
0xce9f93eb7f78fcb7e7d222c81f258535dc218d4b,MultiSig Exploit 1,0 Ether,20
0x9f82984f02f42b31f24d37799c9d63604f9a6f15,MultiSig Exploit 10,0 Ether,9
0xb3740cefcc201d5cf1fa59143976332563314d82,MultiSig Exploit 2,0 Ether,20
0xb4e63046001074b223872137174eec63a7e12cf5,MultiSig Exploit 3,0 Ether,9
0x164c2b90f83b67d897ff00899695430841e38536,MultiSig Exploit 4,0 Ether,10
0x7f379a0d99d224d487ae4751cbf261ae6037153e,MultiSig Exploit 5,0 Ether,31
0xb32db51ba30c80a21a775635c1b6d6a01754fd06,MultiSig Exploit 6,0 Ether,23
0xd74401db32ddd23127e7823887c5ca4d81631793,MultiSig Exploit 7,0 Ether,13
0x327bb6e6fff2c05e542c63b0fcfdd270734738ef,MultiSig Exploit 8,0 Ether,10
0x3b135dbf827508d8ed170548f157bdcd2dc857d3,MultiSig Exploit 9,0 Ether,18
0x027beefcbad782faf69fad12dee97ed894c68549,QuadrigaCX 1,0.08645989 Ether,"20,126"
0xb6aac3b56ff818496b747ea57fcbe42a9aae6218,QuadrigaCX 2,2.43900875 Ether,"448,044"
0x0ee4e2d09aec35bdf08083b649033ac0a41aa75e,QuadrigaCX 3,0.9975829 Ether,"5,061"
0x27f706edde3ad952ef647dd67e24e38cd0803dd6,Useless Ethereum Token,0 Ether,"24,068"
0xb3aaaae47070264f3595c5032ee94b620a583a39,WEX Exchange,"10,016.19775744 Ether","408,387"
