Address,Entity,Balance,Total_tx
0x9f26ae5cd245bfeeb5926d61497550f79d9c6c1c,Akropolis Hacker 1,0 Ether,29
0xbceaa0040764009fdcff407e82ad1f06465fd2c4,Bancor Hacker,0 Ether,3
0x0e57edba0fccb1e388926193c873120cab961fee,Bitpoint Hacker 1,0 Ether,"7,382"
0x1503b6cb665fea9a128a56244df392e950593486,Bitpoint Hacker 2,0 Ether,5
0xf6884686a999f5ae6c1af03db92bab9c6d7dc8de,Coinrail Hacker,0 Ether,31
0xc8b759860149542a98a3eb57c14aadf59d6d89b9,Cryptopia Hacker 1,0 Ether,"76,092"
0xaa923cd02364bb8a4c3d6f894178d2e12231655c,Cryptopia Hacker 2,0 Ether,27
0x9007a0421145b06a0345d55a8c0f0327f62a2224,Cryptopia Hacker 3,0.26842527 Ether,239
0xa7f72bf63edeca25636f0b13ec5135296ca2ebb2,DragonEx Hacker,0.00007803 Ether,"1,570"
0x6ca33486eed915816560630b883a047c4e2b92df,Fake: Metadium Presale,"3,662.83135213 Ether",138
0xd4914762f9bd566bd0882b71af5439c0476d2ff6,Gatecoin Hacker 1,"59,480.51 Ether",14
0x1342a001544b8b7ae4a5d374e33114c66d78bd5f,Gatecoin Hacker 2,"59,491.41 Ether",13
0xc062dceed93087c9112ff7b02d53e928e49cec09,Gatecoin Hacker 3,0 Ether,2
0x04786aada9deea2150deab7b3b8911c309f5ed90,Gatecoin Hacker 4,"37,257.5328655 Ether",34
0xf224ab004461540778a914ea397c589b677e27bb,Harvest.Finance: Hacker 1,110.16689325 Ether,35
0xeb31973e0febf3e3d7058234a5ebbae1ab4b8c23,Kucoin Hacker,17.40641655 Ether,220
0xa9bf70a420d364e923c74448d9d817d3f2a77822,Lendf.Me Hacker 1,0 Ether,"2,759"
0xb3764761e297d6f121e79c32a65829cd1ddb4d32,Multisig Exploit Hacker,"83,017.19122209 Ether",34
0xf4a2eff88a408ff4c4550148151c33c93442619e,Plus Token Ponzi 1,0.01232718 Ether,"1,007,695"
0xcf267ea3f1ebae3c29fea0a3253f94f3122c2199,SpankChain Hacker,0 Ether,16
0xa09871aeadf4994ca12f5c0b6056bbd1d343c029,Upbit Hacker 1,0.06151993 Ether,118
