Address,Entity,Balance,Total_tx
0x120a270bbc009644e35f0bb6ab13f95b8199c4ad,ShapeShift 1,21.28576604 Ether,"67,303"
0x9e6316f44baeeee5d41a1070516cc5fa47baf227,ShapeShift 2,0.00068755 Ether,"103,239"
0x70faa28a6b8d6829a4b1e649d26ec9a2a39ba413,ShapeShift 3,"1,005.89640084 Ether","2,289,753"
0x563b377a956c80d77a7c613a9343699ad6123911,ShapeShift 4,488.05061714 Ether,"374,630"
0xd3273eba07248020bf98a8b560ec1576a612102f,ShapeShift 5,338.15235799 Ether,"361,813"
0x3b0bc51ab9de1e5b7b6e34e5b960285805c41736,ShapeShift 6,563.53834753 Ether,"352,475"
0xeed16856d551569d134530ee3967ec79995e2051,ShapeShift 7,392.10526523 Ether,"375,038"
0xb36efd48c9912bd9fd58b67b65f7438f6364a256,ShapeShift: Binance Deposit,0.0129558 Ether,"9,907"
0xda1e5d4cc9873963f788562354b55a772253b92f,ShapeShift: Bitfinex Deposit,0.09960415 Ether,"11,102"
0xe9319eba87af7c2fc1f55ccde9d10ea8efbd592d,ShapeShift: Bittrex Deposit,0.00386847 Ether,"4,108"
0xc770eefad204b5180df6a14ee197d99d808ee52d,ShapeShift: FOX Token,0 Ether,"34,778"
0xe8ed915e208b28c617d20f3f8ca8e11455933adf,ShapeShift: Poloniex Deposit,0 Ether,"3,290"
